full_text,stemming,label_num,pseudo_label
@IqbalRa17664055 @rwp1byte aku nyusul kerja aja mau #KaburAjaDulu bawa istri wkwkwk,susul kerja kaburajadulu bawa istri wkwkwk,1,neutral
#KaburAjaDulu bole juga ni hashtag,kaburajadulu nih hashtag,2,negative
#KaburAjaDulu,kaburajadulu,1,neutral
 Ehhh ini Mas Adith #KaburAjaDulu ya? Mohon maaf ya Siapa ya pemilik asli dari hashtag di atas? Gw cuma ikut ngeramein aja btw ,eh mas adith kaburajadulu ya mohon maaf ya ya milik asli hashtag gue ngeramein btw,1,neutral
Dengan ini saya resmikan pemilik hashtag #KaburAjaDulu adalah mz Adith! Sah ya gaes sah!,resmi milik hashtag kaburajadulu mas adith sah ya gaes sah,1,neutral
Sampe akhirnya aku bisa diundang Lunch Party event company tsb lalu diterbangkan dari Indonesia ke Japan padahal belum sah jadi karyawannya. Tapi berkat itu bisa ketemu seleb kondang twitter @adith_wp si #KaburAjaDulu karena company tempat kerjanya doi juga. 4649 paisen https://t.co/erKLWuyZQs,undang lunch party event company terbang indonesia japan sah karyawannya berkat ketemu seleb kondang twitter sih kaburajadulu company kerja doi paisen,1,neutral
@adith_wp @Kencampur Bisa kali yak taun depan ngikut tren #KaburAjaDulu ,kali ya ngikut tren kaburajadulu,2,negative
@vhiethabee kalau yang berkeluarga dan berhasil #kaburajadulu ke Jepang ada pak @adith_wp .,keluarga hasil kaburajadulu jepang,2,negative
Pengen ngajak Danilla #KaburAjaDulu ke Jepang ,pengin ajak danilla kaburajadulu jepang,1,neutral
Teman - teman Software Engineer yang pengen #kaburajadulu ke Jepang tapi pengen cari company yang gak mensyaratkan bahasa Jepang bisa liat web ini. https://t.co/JatBNiZqWU,teman teman software engineer pengin kaburajadulu jepang pengin cari company syarat bahasa jepang lihat web,1,neutral
Buat teman-teman mahasiswa yang tertarik #kaburajadulu ke Jepang program ini bisa dicoba yaa! I m not an alumni from this program karena yang nyediain di UGM beda. Terlepas itu harusnya peogramnya secara garis besar sama.,temanteman mahasiswa tarik kaburajadulu jepang program coba ya i not an alumni from this program nyediain ugm beda lepas peogramnya garis,1,neutral
#KaburAjaDulu kalo kata Kak Primawan. Kami setuju karena talenta data ini sedang dibutuhkan di luar negeri bahkan lowongan kerjanya lebih besar daripada di Indonesia! Negara apa aja sih yang demand data talent-nya tinggi? ⬇️ https://t.co/CViz3i4W3W,kaburajadulu kak primawan tuju talenta data butuh negeri lowong kerja indonesia negara sih demand data talentnya,2,negative
Kenapa high-skilled workers Malaysia dan Indonesia memilih #KaburAjaDulu ? https://t.co/tuHxXgdjAl,highskilled workers malaysia indonesia pilih kaburajadulu,1,neutral
Dear teman-temanku yg membaca ini aku mendukung gerakan #KaburAjaDulu. Pray and manifesting for y all! Mari ketemu di Jepang ,dear temantemanku baca dukung gera kaburajadulu pray and manifesting for ya all mari ketemu jepang,1,neutral
@aliviaawin Manifesting #KaburAjaDulu ah semoga 2 tahun lg,manifesting kaburajadulu ah moga,2,negative
@yuniorika_ Amiiinnn #KaburAjaDulu Wkwk,amin kaburajadulu wkwk,1,neutral
@BagasN7 Allahummashallialamuhammad semoga bisa kerja di LN juga #KaburAjaDulu,allahummashallialamuhammad moga kerja ln kaburajadulu,1,neutral
Kalau PDIP and PKS gabung juga ke KIM plus ya uda ga sih. Ngapain pake demokrasi2 atau pemilu2. Diformalin aja kita jadi negara diktaktorship. Abis itu orang WNI jadi punya alesan lebih kuat buat cari asilum politik. #kaburajadulu,pdip and pks gabung kim plus ya sih kapai pakai demokrasi milu formalin negara diktaktorship habis orang wni alesan kuat cari asilum politik kaburajadulu,2,negative
Manifesting #KaburAjaDulu ,manifesting kaburajadulu,2,negative
@ezash Wah bang Eza bau2nya ikutan #KaburAjaDulu ya bang haha,abang eza bau ikut kaburajadulu ya abang haha,2,negative
Kondisi di Wakanda bikin gemes mau #KaburAjaDulu. Di Jepang gempa mulu bikin mau #PulangAjaDulu. Halp,kondisi wakanda bikin gemas kaburajadulu jepang gempa mulu bikin pulangajadulu halp,2,negative
@adith_wp #KaburAjaDulu ke tempat yang minim resiko. IKN mungkin? Kan katanya minim resiko #eh,kaburajadulu minim resiko ikn minim resiko eh,2,negative
manifesting bisa ngetweet pakai hastag #KaburAjaDulu,manifesting ngetweet pakai hastag kaburajadulu,1,neutral
Tren Brain Drain mjd ramai ketika #kaburajadulu di Twitter mencuat. Byk influencer yg sdh lbh dulu berkarier di luar mengajak kita utk ke luar dg berbagai macam alasan. Emangnya Brain Drain itu solusi? Yuk cari jawabannya di podcast saya bersama Mas Ozan: https://t.co/Bdztmh4zFV,tren brain drain mjd ramai kaburajadulu twitter cuat influencer karier ajak alas memang brain drain solusi yuk cari jawab podcast mas ozan,1,neutral
FYI buat yang #KaburAjaDulu,fyi kaburajadulu,2,negative
@ezash @__airu___ @muhraufan @adith_wp Nyari info #KaburAjaDulu kah? Wkwkw ,cari info kaburajadulu kah wkwkw,1,neutral
#KaburAjaDulu ke Jepang :,kaburajadulu jepang,2,negative
Jepang dulu juga punya mindset yang sama. Makanya lemah di Software. Ya menguntungkan kita juga sih karena jadi banyak org Indo yg #KaburAjaDulu gabung ke startup Jepang. Indo mau niru gitu juga?,jepang mindset lemah software ya untung sih orang indonesia kaburajadulu gabung startup jepang indonesia tiru,2,negative
Bismillah mulai nyeriusin belajar bahasa asing buat #kaburajadulu dimulai dari bahasa inggris dulu.,bismillah nyeriusin ajar bahasa asing kaburajadulu bahasa inggris,1,neutral
bismillah semoga bisa #KaburAjaDulu di 2025 nanti. selalu bikin ill feel tiap kepikiran pajak yang dibayar buat pemerintah yang dan semoga bisa bantu teman dan keluarga buat kabur juga sebelum ni negara bubar dengan sendirinya,bismillah moga kaburajadulu bikin ill feel pikir pajak bayar perintah moga bantu teman keluarga kabur nih negara bubar,2,negative
dahlah fix #KaburAjaDulu,dah fix kaburajadulu,2,negative
#KaburAjaDulu .NET ,kaburajadulu net,1,neutral
@txtcybr Harus #kaburajadulu ya bang,kaburajadulu ya abang,2,negative
@asepbensin15k Btuls #kaburajadulu,btuls kaburajadulu,2,negative
Kayanya karena tweet lowongan dan #KaburAjaDulu beberapa hari lalu banyak follower baru... Untuk yang baru follow Halo!,kaya tweet lowong kaburajadulu follower follow halo,2,negative
@adith_wp Thanks. Semoga bisa ikut jejaknya #KaburAjaDulu ,thanks moga jejak kaburajadulu,1,neutral
Buat yang mau #kaburajadulu dulu ke Jerman. Nih Jerman bikin skema imigrasi baru untuk skilled worker. Bisa masuk dan tinggal di sana selama setahun untuk tujuan mencari kerja. Yang penting punya biaya hidup pengalaman dan skill bahasa Inggris (B2). https://t.co/LwX18fpFoE,kaburajadulu jerman nih jerman bikin skema imigrasi skilled worker masuk tinggal tahun tuju cari kerja biaya hidup alam skill bahasa inggris b,2,negative
@ainunnajib Mas ada lowongan? Etapi mau #kaburajadulu jalur istri,mas lowong etapi kaburajadulu jalur istri,2,negative
I sincerely pray for you guys to get the chance to #KaburAjaDulu. Our country is beyond salvation. Astaghfirullah marah banget gw ga ngerti lagi.,i sincerely pray for you guys get the chance kaburajadulu our country is beyond salvation astaghfirullah marah banget gue erti,0,positive
hm sudah saatnya #KaburAjaDulu,hm kaburajadulu,2,negative
Yg punya kesempatan #KaburAjaDulu guys. Makin ga bener sialan.,sempat kaburajadulu guys sial,2,negative
