full_text,normalized,label_num,pseudo_label
@IqbalRa17664055 @rwp1byte aku nyusul kerja aja mau #KaburAjaDulu bawa istri wkwkwk,aku menyusul kerja saja mau kaburajadulu bawa istri wkwkwk,2,negatif
#KaburAjaDulu bole juga ni hashtag,kaburajadulu boleh juga nih hashtag,1,neutral
#KaburAjaDulu,kaburajadulu,1,neutral
 Ehhh ini Mas Adith #KaburAjaDulu ya? Mohon maaf ya Siapa ya pemilik asli dari hashtag di atas? Gw cuma ikut ngeramein aja btw ,eh ini mas adith kaburajadulu ya mohon maaf ya siapa ya pemilik asli dari hashtag di atas gue cuma ikut ngeramein saja btw,1,neutral
Dengan ini saya resmikan pemilik hashtag #KaburAjaDulu adalah mz Adith! Sah ya gaes sah!,dengan ini saya resmikan pemilik hashtag kaburajadulu adalah mas adith sah ya gaes sah,1,neutral
Sampe akhirnya aku bisa diundang Lunch Party event company tsb lalu diterbangkan dari Indonesia ke Japan padahal belum sah jadi karyawannya. Tapi berkat itu bisa ketemu seleb kondang twitter @adith_wp si #KaburAjaDulu karena company tempat kerjanya doi juga. 4649 paisen https://t.co/erKLWuyZQs,sampai akhirnya aku bisa diundang lunch party event company tersebut lalu diterbangkan dari indonesia ke japan padahal belum sah jadi karyawannya tapi berkat itu bisa ketemu seleb kondang twitter sih kaburajadulu karena company tempat kerjanya doi juga paisen,1,neutral
@adith_wp @Kencampur Bisa kali yak taun depan ngikut tren #KaburAjaDulu ,bisa kali ya tahun depan ngikut tren kaburajadulu,2,negatif
@vhiethabee kalau yang berkeluarga dan berhasil #kaburajadulu ke Jepang ada pak @adith_wp .,kalau yang berkeluarga dan berhasil kaburajadulu ke jepang ada pak,2,negatif
Pengen ngajak Danilla #KaburAjaDulu ke Jepang ,pengin mengajak danilla kaburajadulu ke jepang,1,neutral
Teman - teman Software Engineer yang pengen #kaburajadulu ke Jepang tapi pengen cari company yang gak mensyaratkan bahasa Jepang bisa liat web ini. https://t.co/JatBNiZqWU,teman teman software engineer yang pengin kaburajadulu ke jepang tapi pengin cari company yang tidak mensyaratkan bahasa jepang bisa lihat web ini,1,neutral
Buat teman-teman mahasiswa yang tertarik #kaburajadulu ke Jepang program ini bisa dicoba yaa! I m not an alumni from this program karena yang nyediain di UGM beda. Terlepas itu harusnya peogramnya secara garis besar sama.,buat temanteman mahasiswa yang tertarik kaburajadulu ke jepang program ini bisa dicoba ya i sama not an alumni from this program karena yang nyediain di ugm beda terlepas itu harusnya peogramnya secara garis besar sama,1,neutral
@ameemeea Sama bapak #KaburAjaDulu ini aja @adith_wp,sama bapak kaburajadulu ini saja,2,negatif
#KaburAjaDulu kalo kata Kak Primawan. Kami setuju karena talenta data ini sedang dibutuhkan di luar negeri bahkan lowongan kerjanya lebih besar daripada di Indonesia! Negara apa aja sih yang demand data talent-nya tinggi? ⬇️ https://t.co/CViz3i4W3W,kaburajadulu kalau kata kak primawan kami setuju karena talenta data ini sedang dibutuhkan di luar negeri bahkan lowongan kerjanya lebih besar daripada di indonesia negara apa saja sih yang demand data talentnya tinggi,2,negatif
Kenapa high-skilled workers Malaysia dan Indonesia memilih #KaburAjaDulu ? https://t.co/tuHxXgdjAl,kenapa highskilled workers malaysia dan indonesia memilih kaburajadulu,1,neutral
Dear teman-temanku yg membaca ini aku mendukung gerakan #KaburAjaDulu. Pray and manifesting for y all! Mari ketemu di Jepang ,dear temantemanku yang membaca ini aku mendukung gerakan kaburajadulu pray and manifesting for ya all mari ketemu di jepang,1,neutral
@aliviaawin Manifesting #KaburAjaDulu ah semoga 2 tahun lg,manifesting kaburajadulu ah semoga tahun lagi,2,negatif
@yuniorika_ Amiiinnn #KaburAjaDulu Wkwk,amin kaburajadulu wkwk,1,neutral
@BagasN7 Allahummashallialamuhammad semoga bisa kerja di LN juga #KaburAjaDulu,allahummashallialamuhammad semoga bisa kerja di ln juga kaburajadulu,1,neutral
Kalau PDIP and PKS gabung juga ke KIM plus ya uda ga sih. Ngapain pake demokrasi2 atau pemilu2. Diformalin aja kita jadi negara diktaktorship. Abis itu orang WNI jadi punya alesan lebih kuat buat cari asilum politik. #kaburajadulu,kalau pdip and pks gabung juga ke kim plus ya sudah tidak sih mengapai pakai demokrasi atau pemilu diformalin saja kita jadi negara diktaktorship habis itu orang wni jadi punya alesan lebih kuat buat cari asilum politik kaburajadulu,2,negatif
Manifesting #KaburAjaDulu ,manifesting kaburajadulu,2,negatif
@ezash Wah bang Eza bau2nya ikutan #KaburAjaDulu ya bang haha,wah abang eza baunya ikutan kaburajadulu ya abang haha,2,negatif
