full_text,normalized,label_num,pseudo_label
WKWKWKWKWKWK SELAMAT JABAR MERASAKAN KDM. Gua sih #KaburAjaDulu ya dari jabar selama 5 tahun kedepan wkwkwk,wkwkwkwkwkwk selamat jabar merasakan kdm gua sih kaburajadulu ya dari jabar selama tahun kedepan wkwkwk,1,neutral
#KaburAjaDulu Jadi Peneliti S3 Dapat Gaji di Jerman Lagi seru baca thread #kaburajadulu jadi pengen sharing pengalaman jadi PhD researcher jalur proyek ilmiah di Jerman. Karena skema ini menawarkan pekerjaan berbayar yang gajinya bisa digunakan untuk biaya hidup. A thread. https://t.co/ei5l6GQDrx,kaburajadulu jadi peneliti si dapat gaji di jerman lagi seru baca thread kaburajadulu jadi pengin sharing pengalaman jadi phd researcher jalur proyek ilmiah di jerman karena skema ini menawarkan pekerjaan berbayar yang gajinya bisa digunakan untuk biaya hidup a thread,1,neutral
kak ruruu apa mas nar g pengen misuhin pemerintah aku KESEL BGT TP CAPEK BUTUH DIWAKILKAN MARAHNYA SAMA MAS NAR #ruanswer mas nar juga udah terlalu lelahhh mendingan langsung #KaburAjaDUlu https://t.co/ChYtB9PB18,kak ruruu apa mas nar tidak pengin misuhin pemerintah aku kesel banget tapi capek butuh diwakilkan marahnya sama mas nar ruanswer mas nar juga sudah terlalu lelah mendingan langsung kaburajadulu,2,negatif
https://t.co/9XbQAyLvC8 Mahasiswa Ndasmu Kupang #IndonesiaGelap bayar hutangnya #KaburAjaDulu Persela #ArtisBersuara Demo hobi Alfarider Bantu Ukuran Tangan BUMN jaemin lihat dengar pahami Audio Eraser https://t.co/SFh4b0UxA4,mahasiswa ndasmu kupang indonesiagelap bayar hutangnya kaburajadulu persela artisbersuara demo hobi alfarider bantu ukuran tangan bumn jaemin lihat dengar pahami audio eraser,1,neutral
#kaburajadulu but i go 6 feet underground instead,kaburajadulu but i go feet underground instead,2,negatif
Sdh gak anehlah kalo di Konoha para pejabatnya tdk hargai karya anak bangsa. Mereka cuma cari keuntungan sendiri. Mobil Esemka aja sdh jd mobil ghoib sedang salesnya sdh jd presiden 2 periode. #KaburAjaDulu #AdiliJokowi https://t.co/jlPY4gjI1d,sudah tidak anehlah kalau di konoha para pejabatnya tidak hargai karya anak bangsa mereka cuma cari keuntungan sendiri mobil esemka saja sudah jadi mobil ghoib sedang salesnya sudah jadi presiden periode kaburajadulu adilijokowi,2,negatif
@strootsys MU jelas 1. Efisiensi 2. #kaburajadulu 3. Ratcliffe dikira jadi messiah ternyata 2nd account,mu jelas efisiensi kaburajadulu ratcliffe dikira jadi messiah ternyata indak account,2,negatif
Kaya emang solusi buat segala masalah ekonomi keluarga gue adalah #KaburAjaDulu capek gue kerja ampe kena sakit ujung2 minus lagi minus lagi tiap Bulan. Bukan karena cash flow tapi karena emang kebutuhan keluarga dan anak makin mahal.,kayak memang solusi buat segala masalah ekonomi keluarga gue adalah kaburajadulu capek gue kerja sampai kena sakit ujung minus lagi minus lagi tiap bulan bukan karena cash flow tapi karena memang kebutuhan keluarga dan anak makin mahal,2,negatif
@Opowaelahkeno77 Yang sisa di Indonesia tinggal petani yang begini karena terpaksa. Kelas pekerja kantoran #KaburAjaDulu,yang sisa di indonesia tinggal petani yang begini karena terpaksa kelas pekerja kantoran kaburajadulu,2,negatif
hahahaha nggak tau harus apa lagi ges sama negara ini emang dasarnya udh busuk #KaburAjaDulu,hahahaha tidak tau harus apa lagi ges sama negara ini memang dasarnya sudah busuk kaburajadulu,2,negatif
ada jasa proofread cv ga ya #zonajajan #zonauang #KaburAjaDulu aku ada apply buat beasiswa pake cv europass huhu,ada jasa proofread cv tidak ya zonajajan zonauang kaburajadulu aku ada apply buat beasiswa pakai cv europass huhu,1,neutral
Buat temen2 kesayangan yg mau #KaburAjaDulu tolong lihat baik2 negara mana yg membutuhkan tenaga kerja.Utk ke Europe carilah informasi sebenar2nya.Jgn percaya sama tulisan dan konten2 ttg Kerja diBelanda atau Jerman gampang dan gak perlu bisa bhs belanda atau jerman. Hati2 yaa,buat teman kesayangan yang mau kaburajadulu tolong lihat baik negara mana yang membutuhkan tenaga kerjautk ke europe carilah informasi sebenarnyajgn percaya sama tulisan dan konten tentang kerja dibelanda atau jerman gampang dan tidak perlu bisa bahasa belanda atau jerman hati ya,1,neutral
Setelah ramai tagar #IndonesiaGelap dan #KaburAjaDulu bagaimana perspektif kaum buruh? Simak pandangan Presiden KSPI dan Partai Buruh Said Iqbal di Torpedo Podcast. https://t.co/b7WdzTwwqw,setelah ramai tagar indonesiagelap dan kaburajadulu bagaimana perspektif kaum buruh simak pandangan presiden kspi dan partai buruh said iqbal di torpedo podcast,1,neutral
Seriously #KaburAjaDulu,seriously kaburajadulu,2,negatif
#kaburajadulu versi gw tuh sebenernya belom berhasil2 kabur wkwkwk Pengen scholarship ke LN tapi keder mulu. Coba jalur embassy amrik belum tembus juga tetep melokal di bumen heu Eh si rollercoaster kehidupan muncul sekarang ujug2 Meta nawarin join. Semoga dilancarkan https://t.co/NKvmUxPR8D,kaburajadulu versi gue tuh sebenarnya belum berhasil kabur wkwkwk pengin scholarship ke ln tapi keder mulu coba jalur embassy amrik belum tembus juga tetap melokal di bumen heu eh sih rollercoaster kehidupan muncul sekarang ujug meta menawari join semoga dilancarkan,2,negatif
@anggadwia_ kalau nyari duit gampang dan harga barang murah hukum tegak itu gak bakal muncul tagar #KaburAjaDulu yang di sorot malah isu Nasionalisme bukannya mikir dia korup makanya orang pada kabur.,kalau mencari duit gampang dan harga barang murah hukum tegak itu tidak bakal muncul tagar kaburajadulu yang di sorot malah isu nasionalisme bukannya mikir dia korup makanya orang pada kabur,2,negatif
CAPEK LIHAT KEBIJAKAN PEJABAT TOLOL #IndonesiaGelap #KaburAjaDulu https://t.co/X6Ft7ESEz0,capek lihat kebijakan pejabat tolol indonesiagelap kaburajadulu,2,negatif
kok orang-orang pada kaya ya gajinya pada berapaaa sih. apakah ini saatnya untuk aku mewujudkan dari hastag #KaburAjaDulu supaya gaji ku banyak dan bisa foto dipeluk jeno lee seperti ini.,kok orangorang pada kayak ya gajinya pada berapa sih apakah ini saatnya untuk aku mewujudkan dari hastag kaburajadulu supaya gaji ku banyak dan bisa foto dipeluk jeno lee seperti ini,1,neutral
Pak Kohod ngabur terinspirasi #kaburajadulu kali ya ,pak kohod ngabur terinspirasi kaburajadulu kali ya,0,positif
Parang Headshot #macheteheadshot #kaburajadulu #modalpungli https://t.co/ErewkczdpQ,parang headshot macheteheadshot kaburajadulu modalpungli,2,negatif
Tagar #KaburAjaDulu ramai dibahas! Anak muda mulai bersuara ingin meninggalkan Indonesia karena masalah ekonomi pekerjaan biaya hidup dan ketidakadilan sosial. Solusi atau keputusasaan? #Indonesia #Kaburajadulu https://t.co/RAYniMKP8Z,tagar kaburajadulu ramai dibahas anak muda mulai bersuara ingin meninggalkan indonesia karena masalah ekonomi pekerjaan biaya hidup dan ketidakadilan sosial solusi atau keputusasaan indonesia kaburajadulu,2,negatif
@ARSIPAJA Om gemoy ternyata juga pelopor #KaburAjaDulu,om gemoy ternyata juga pelopor kaburajadulu,2,negatif
nais info #KaburAjaDulu,nais info kaburajadulu,2,negatif
solusi dari semua ini #KaburAjaDulu,solusi dari semua ini kaburajadulu,2,negatif
wahh rezeki utk org baik. ambil masss gaskeun #KaburAjaDulu,wah rezeki untuk orang baik ambil mas gaskeun kaburajadulu,2,negatif
Perasaan #KaburAjaDulu tu SOWnya yg spt acu si ASN series atau techbros di sindikat meng digital. lalu bs upscaled nation-wide tu bener2 di-riding moment sama khalayak ramai karena pemerentah lg blindsided KPI mereka ya? ,perasaan kaburajadulu itu sownya yang seperti acu sih asn series atau techbros di sindikat meng digital lalu bisa upscaled nationwide itu benar diriding moment sama khalayak ramai karena pemerentah lagi blindsided kpi mereka ya,2,negatif
enak nih agenda #KaburAjaDulu bisa naik kereta dari tanah abang,enak nih agenda kaburajadulu bisa naik kereta dari tanah abang,0,positif
Kalo dah pernah dman jadi ngaruh ke algoritma yaaa apa yg dia like. Jadi ngerasa sekua orang mau #kaburajadulu. Tp aku ngerasa pengaruh lingkungan beliau ini yang emang org sini dari jaman baheula byk yg tki.,kalau sudah pernah dman jadi ngaruh ke algoritma ya apa yang dia like jadi merasa sekua orang mau kaburajadulu tapi aku merasa pengaruh lingkungan beliau ini yang memang orang sini dari jaman baheula banyak yang tki,2,negatif
Jadi kalo gopermen sok2an tuding #KaburAjaDulu gak nasionalis itu hanya drama aslinya mereka semua berada dalam jaringan settingan globalis #nwo,jadi kalau gopermen sokan tuding kaburajadulu tidak nasionalis itu hanya drama aslinya mereka semua berada dalam jaringan settingan globalis nwo,2,negatif
Semoga bisa bawa saya #kaburajadulu,semoga bisa bawa saya kaburajadulu,1,neutral
Masih berharap #KaburAjaDulu membuat masa depan lebih baik. Padahal dunia sedang lagi menuju era perbudakan agenda 2030 oleh globalis dajjal. Kenapa kaburnya gak ke desa atau gunung aja? Bukan ke negara maju seperti imajinasi warganet kebanyakan @StopPlandemit @ThatSun510,masih berharap kaburajadulu membuat masa depan lebih baik padahal dunia sedang lagi menuju era perbudakan agenda oleh globalis dajjal kenapa kaburnya tidak ke desa atau gunung saja bukan ke negara maju seperti imajinasi warganet kebanyakan,2,negatif
Pak CATpamnya setuju juga nih kayanya #RumahmuSendiri #KaburAjaDulu https://t.co/IuOj1ZVaKk,pak catpamnya setuju juga nih kayanya rumahmusendiri kaburajadulu,2,negatif
Gak sabar bulan depan #KaburAjaDulu /srs,tidak sabar bulan depan kaburajadulu srs,2,negatif
#KaburAjaDulu kayaknya jepang aja yaa tpi belajar bahasanya nya berapa lama,kaburajadulu kayaknya jepang saja ya tapi belajar bahasanya ya berapa lama,2,negatif
#KaburAjaDulu bukan sekadar tren tapi jeritan kolektif anak muda yang muak. Di negeri tanpa meritokrasi di mana integritas tumbang dan perjuangan berujung represi pilihan semakin jelas: die a hero or live long enough to become the villain.,kaburajadulu bukan sekadar tren tapi jeritan kolektif anak muda yang muak di negeri tanpa meritokrasi di mana integritas tumbang dan perjuangan berujung represi pilihan semakin jelas die a hero orang live long enough tapi become the villain,2,negatif
